subject,title,abstract
155,self made woman construction self follow male female gender reassignment surgery,aims surgical intervention treatment gender identity disorder procedure increasingly well medical relatively poorly psychological outcome systematic review literature evidence post operative outcome psychological qualitative design comparatively rare examined phenomenon interpretative phenomenological select data purpose capture relative novelty matter emphasis process meaning eight participant complete male female surgery recruit interview researcher results emergent theme interview data cluster five super ordinate theme participant communicate follow significance importance contextualising surgery social dimension procedure need distinguish gender difficult necessary choice living gender post operatively conclusions finding current psychological surgical gender reassignment complex implication patient around perceive life changing ultimately limited intervention research need build finding example experience partner family member whose integral experience construct gender
155,individual experience acceptance based pain management programme interpretative phenomenological,although evidence positive relationship acceptance pain healthy adaptation chronic pain research appear devoid guide theoretical framework review paper investigate acceptance model adaptation chronic pain fourteen studies review categorise four sections accordance model adaptation cite exploration underlying component model illuminate five unifying elements appear adaptation goal setting attention pain strategy identity psychological flexibility unifying model propose finding review acceptance basedin terventions mindfulness acceptance commitment therapy contextual cognitive behavioural therapy would beneficial enable healthy adaptation chronic pain despite grow evidence base regard effectiveness acceptance based interventionsf chronic pain previous research quantitative outcome measure process occur intervention however remain unknown research paper therefore qualitatively individual experience acccptance based pain management programme constituent felt facilitated change findings highlight importance pain relevant social support psychoeducation self identity positive acceptance pain proactive strategy pace activity mindfulness paper link research finding model adaptation propose model within literature review contribution clinical practice implication future research unify component unique depth insight people experience process chronic pain management gleened especially experiential people acceptance based painmanagement highlight need qualitative pain management intervention
155,knowledge belief attitude health visitor relation postnatal post traumatic stress disorder qualitative investigation,part literature review background women experience birth related ptsd research begin potential effect disorder infant development article review evidence three database systematically search results article meet inclusion criterion variable categorise mother infant attachment child temperament parent behaviour conclusions review highlight dearth rigorously conduct research area however article limited evidence support aversive birth experiences ptsd lead optimal parent infant bonding difficulty infant temperament although tentative professional family postpartum alert impact aversive birth experience parent infant bond infant temperament part research report background traumagenic potential childbirth well documented research professional birth related trauma given potential impact understanding woman care research knowledge attitude belief health visitor regard birth related ptsd three group three interview conduct health visitor manager verbatim transcript analyse template results highlight route participant perceive birth could result distress first emphasised qualitative aspect birth traumagenic whereas begin normal birth experience traumatic circumstance although much phenomenology describe participant commensurate literature notable discomfort ptsd lack emphasis mean suggested participant lack theoretical understanding ptsd clinical implication finding describe part three appraisal reflections overall research process
155,linguistic profile greek individual syndrome evidence syntactic morphological phenomenon,contribute cross linguistic research area neurodevelopmental disorder investigate morphosyntactic ability greek speaking adolescent syndrome henceforth neurodevelopmental disorder main genetic cause mental retardation hagerman language development special challenge people since regard relatively impaired cognitive function lenneberg addition aspect language affected others grammar severely impaired lexicon semantics pragmatic following language greek speaking people severely delay deviant language deficit consequence linguistic cognitive impairment language people exhibit clinical marker congenital syndrome different genetic origin impairment population syndrome specific group take part eight adolescent mean mental sixteen typically child whose chronological match mental participant phenomenon investigation syntactic binding relative clause questions perfective past tense morphology findings reveal grammatical development simply delay language performance also deviate typically child moreover whilst difficulty find participant domain investigate result decide whether difficulty grammar specific cognitive impairment finally comparison child stavrakaki reveal syndrome specific atypical population different genetic origin
155,responses metastereotype activation amongst member devalued group,metastereotype activation amongst member devalued group metastereotypes impression group member expect outgroup group vorauer recently research primarily establish content accuracy condition necessary activate metastereotypes often dominant group conceptualised form social identity threat three metastereotype activation derive social identity tajfel
155,qualitative maternal perception overweight obesity child,previous find mother overweight child report level consistently underestimate weight child significant limitation fail explanation underestimation occur might link maternal perception overweight child theoretical framework maternal perception overweight obesity child semi structured interview undertake twelve mother recruit paediatrician local weight management group north west england interviews transcribe analyse grounded methodology theoretical understanding maternal perception overweight obesity child five related category feeding practice minimising severity concerns weight control resilience results support finding uncover previous research also expand finding explanation psychological mechanism mediate maternal misperceptions overweight
155,self esteem self individual poor persecutory belief,background persecutory delusion psychiatric symptom affect psychosis associate high level distress social isolation hospitalisation psychological persecutory delusion order inform care distress symptom objectives current literature review evaluate current psychological model persecutory delusion namely daniel freeman model anxiety play direct causal persecutory belief richard bentall model persecutory delusion defence self esteem depression research investigate richard bentall model look pattern self esteem different type persecutory delusion poor delusion individual feel persecution deserve delusion individual feel persecution deserve methods literature review comprise comprehensive review literature look anxiety self esteem depression persecutory delusion research combination self report questionnaire computer task measure self esteem persecutory delusion findings literature review outline high level anxiety depression self esteem persecutory delusion little evidence find support freeman model persecutory delusion initial evidence however find support revised bentall model research meanwhile find pattern self esteem poor delusion consistent bentall revised model conclusions current outline support bentall revised model persecutory delusion also outline need research number area
155,emotion child intergroup context,researchc oncerningc hildren intergroupr elationsh mainly focusedo prejudicial attitudesa stereotypesr arely child emotionsb eene xaminedi intergroup context lthougha studiesh suggestedth importanceo topic contrast literature intergroup relation adult recently highlight emotion predict specific intergroup action main purpose child emotion predict expect intergroup behaviour investigate nine empirical first child emotion investigate relation like toward ingroup white outgroup black peer children find like differentethnicity peer extent difference emerge emotion experience toward target moreover positive negative emotion contribute significantly prediction white child intentional contact specific white black member beyond stereotypical belief liking effect stereotypical belief weaker sometimes mediate emotional factor addition specific emotion anger find predict precise behaviour perpetrator victim paradigm target ethnicity manipulate line expectation differentiate emotion predict precise behaviour effect independent impact social categorization intervention avoidance behaviour final child intergroup discriminatory scenario whether child emotion cognition would encourage contact outgroup member results indicate need gender planning intervention design facilitate positive intergroup behaviour programme empirical demonstrate emotion contribute significantly intergroup behaviour child future attention emotional component intergroup relation child thus major direction future area
155,social psychology music musical taste,social psychology music musical taste deal four main research people listen music stereotype musical taste influence individual judge people people exhibit group favouritism towards share musical taste stereotype musical taste influence individual perceive people finding serve highlight musical taste socio cultural construct likely influence social cognition perception intergroup behaviour also insight people listen music serve highlight potential music psychologist well established mainstream social psychology musical behaviour
155,experimental investigation child adult process implicature associate scalar,scalar implicature weak scale implicate stronger scale intended meaning example often interpret mean whereas logically meaning least recent year scalar implicature progress explanation poor reason performance adult current status experimental investigation result relatively little know scalar implicature literature contain seemingly contradictory finding untested assumption primary investigate quantifier order clarify extend exist knowledge scalar implicature associate literature review three research identify relation implicature developmental trajectory sensitivity implicature context facilitate sensitivity implicature contemporary best capture processing scalar experiment primarily sensitivity scalar implicature result reveal contrary assumption literature sensitivity linearly shaped fashion consequently child pragmatic adult addition sensitivity year child earlier previously show literature context facilitate sensitivity scalar implicatures child feeney scrafton duckworth handley deception context help child detect implicatures finding reveal deception context sensitivity factor motivation behind deception thus highest rate sensitivity implicature observe condition obvious benefit speaker attempted deception successful compare process child adult experiment reveal adult process difficulty child appear sensitivity adult affect secondary task logical time infelicitous trial longer control trial appear experience difficulty resolve conflict contrary assumption literature logical adult necessarily indicative failure detect implicature could represent either cancellation implicature detection conflict experimental finding relation theoretical scalar implicature current form fully capture nature phenomenon overall assumption literature appear incorrect therefore future research must mindful untested assumption interpret result addition theoretical explanation scalar implicature need revise generate hypothesis rather tool result interpret interest tell interface semantics pragmatic also reveal relationship inference reasoning
155,qualitative phenomenon stroke survivor associate post stroke anxiety,aims broad facilitate development ground post stroke context begin phenomenon stroke related anxiety specifically stroke survivors factor associate post stroke anxiety literature review review literature prevalence rate post stroke anxiety disorder factor significantly correlate post stroke anxiety find research area infancy limitations undermine reliability validity finding prevalence rate could confidence post traumatic stress disorder ptsd however evidence prevalence rate anxiety disorder little evidence relate anxiety disorder relatively small number identify factor significantly correlate post stroke ptsd evidence strongest comorbid depression morbid psychiatric history reduce quality life reduce social support methodology research adopt qualitative semi structured interview gather data stroke survivor interview transcript analyse grounded main finding participants associate factor anxiety could group three main category dependence vulnerability inability meet expectation participants expectation appear link stroke belief experience self compare judge post stroke experience identity prolonged period post stroke relationship anxiety phenomenon could cognitive behavioural psychological adjustment stroke related change delay unclear prognosis vague expectation slow rehabilitation seem part pathway post stroke rehabilitation
155,attitudes towards technology base stereotype self categorisation control,research social psychological explanation representation woman career compute following review literature paper questionnaire collect open data participant group represent post adolescence results regard constitute typical computer user indicate shift gender representation young male stereotype vast majority year olds proportionally computer adolescent girl report alongside girl fewer positive emotion online survey quantitative data participant additional groups year olds undergraduate adult confirm transition gender stereotype male representation typical computer user adolescence indicate occur around year principal component analyses pair locus control measure education compute context higher personal control compute context whereas woman reverse item semantic differential scale represent emotional evidence three factor positive negative emotion engagement emotionality gender difference relationship variable third undergraduate relate data online questionnaire effect actual performance self rating computing task results show frame task evaluative hold gender mental representation affect performance self evaluation support stereotype threat steele
155,qualitative experience heart failure specialist nurse patient stage heart failure,literature review systematically critically appraise well synthesise qualitative research psychological impact nurse within palliative care eleven paper identify studies number quality taxonomy nurse palliative care persona personally professionally fostered nursing resilience research could persona training practice support implication nurse research report identify experience heart failure specialist nurse patient stage heart failure experience affect nurse support qualitative design semi structured interview undertaken analyse interpretative phenomenological three superordinate theme elicit keeping rhythm going relate aspect routine care rhythm peters good death relate task life winding string relate impact participants appear profess professional face emotional impact perpetual physical effort care patient life articulate high expectation achieve good death manage acute context seem undermine delivery alternative model care within community recommendations regard training supervision bridge care appraisal reflection upon whole research process reference research diary implications researcher clinician
155,working patient acquire brain injury staff experience inappropriate sexualise behaviour,part literature review purpose qualitative literature regard staff experience challenge behaviour overview quality research literature search conduct database highlight relevant paper specific inclusion exclusion criterion apply results several theme emerge review include behaviour lose control emotional reaction manage strategy relationship client professionalism however many lack methodological rigour conclusions research investigate strategy care staff effective support mechanism indicate staff experience acknowledge order promote better psychological emotional wellbeing part research report objectives staff experience sexualised behaviour patient acquire brain injury data semi structured interview diary participant analyse interpretative phenomenological smith results three theme emerge psychological responses continuing ability cope evolving relationships conclusions result sexualise behaviour direct towards staff affect emotional psychological wellbeing participants identify multiple strategy help specifically highlight importance share experience share understanding within support system clinical implication enable appropriate support system within environment include prioritise psychological wellbeing staff clinical setting part three appraisal reflections regard overall research process barriers facilitate factor well practical interest include journey take reflexivity process write limitation chosen methodology
155,questions child language acquisition,according frame based constructivist language acquisition child learn produce questions structure namely gradual process abstraction child early construction schema base around high frequency item questions probabilistic relation challenge traditional generativist language acquisition accord child possess innate knowledge produce questions need learn apply test broad empirically considers questions context theoretical framework report experiment design determine whether verb frequency affect child ability produce questions examines year child ability produce questions results show significant effect significant effect type effect word effect verb frequency familiar novel verb report design child younger would show effect verb frequency results show significant effect type main effect verb frequency number grammatical questions produce error design pronoun would influence child ability produce questions find significant effect type effect verb frequency look influence animacy pronoun ambiguity verb semantic class child ability comprehend produce questions find evidence animacy verb semantics influence production comprehension number aspect result broadly consistent constructivist frame based acquisition error undermine generativist movement based explanation
155,empirical test metacognitive model obsessive compulsive disorder,metacognitive model wells
155,beyond pain qualitative investigation psychosocial implication specific back pain,specific back pain highly prevalent debilitating condition know organic cause often recur become persistent chronic remain recalcitrant available treatment pose conundrum healthcare professional back pain patient alike lead call biopsychosocial model care improved management patient population document realistic quest achieve increase understanding patient pain need individual belief perception pain factor play major influential behaviour adjustment outcome light primary contribute knowledge disability qualitatively investigate period time belief experience purposively select group chronic specific back pain patient consult primary care interpretative phenomenological purpose secondary ascertain extent self regulation model illness pain belief perception behaviour patient population respect primary theme nature back pain impact self back pain social context yywi orry fear future uncertainty achieving acceptance negative impact pain catastrophising emerge depth baseline follow interview five participant secondary participant pain perception could onto number complexity emerge currently stand impact uncertainty comorbidityl significant othe acceptance pain belief behaviour could also fully model highlight need research area
155,constructions fatherhood transition empty nest stage parent,discursive psychological fatherhood construct variety context transition empty nest body data consist thirty three internet article describe parent challenge relate event child leave home hundred sixty four posting parent online conversation transition empty nest well nineteen semi structured interview father whose child leave process leave home range data firstly collect order breadth fatherhood construction available everyday setting secondly investigate whether construct different context vary discrepancy contribute understanding fatherhood empty nest finally different type data analyse contribute current methodological interview qualitative research empirical construction fatherhood separate context firstly parent expert construct empty nest fatherhood three distinctive contrast mother father child leave home overlook father empty nest transition parent equal importance process secondly find mother internet chat room conversation construct empty nest father fatherhood problematic thirdly investigation father online conversation explicate discursive technique maintain fathering identity child leave home representation emotional impact empty nest strategy employ maintain masculinity normativity face emotion interview father compare finding naturally occur data analyse earlier first instance finding unique interview data father understanding circumstance affect perception child leave turn towards interview finding compatible internet data assess influence compatibility current methodological field qualitative research whole finding enrich exist literature fatherhood empty nest syndrome also relationship fatherhood masculinity finally merit naturally occur versus interview data contribute current field qualitative discursive methodology
155,patterns cortisol dhea secretion relationship attachment style psychosocial variable female adolescent developmental psychopathology,programme research developmental psychopathology investigate female across adolescent period sided story first neuroendocrine psychosocial parameter group healthy female adolescent follow parallel female adolescent anorexia nervosa biopsychosocial multi measurement take utilise self report interview hypothalamic pituitary adrenocortical axis measure saliva sample measurement cortisol dhea collect best recommended methodology multiple sample strict reference time awaken consecutive sampling weekday research adolescent orientated specifically creative ageappropriate strategy ensure participant adherence protocol well generally adopt procedure facilitate engagement research process healthy female mean year cortisol dhea secretion exhibit typical adult like diurnal pattern developmental marker chronological menarche status body mass index differential association cortisol dhea secretory activity pattern cortisol awaken sensitive whether participant experience first menses chronological post menarche generally reach peak cortisol secretion minute post awakening contrast menarche group evenly spread subsequent daytime cortisol level also higher post menarche female effect also note increase morning evening dhea positively associate developmental marker none situational self report psychosocial variable measure modulate finding regard cortisol dhea secretion healthy group girl within appropriate norm self report measure however half group insecurely attach assess interview attachment style associate neuroendocrine parameter anxious insecure style exhibit higher awaken sample level nmol nmol nmol secure anxious avoidant group respectively flatter mean increase awakening period nmol nmol nmol secure anxious avoidant group respectively afore mentioned pattern similar consistently associate psychological disorder adult clinical vulnerability factor subsequent mental health group female mean year recruit specialist residential clinic compare group healthy control female adolescent picture cortisol dhea hypersecretion reveal mean change exhibit cortisol level minute post awakening period nmol nmol group respectively mean even cortisol level girl nmol comparison nmol group mean morning dhea concentration nmol nmol group respectively group mean concentration hour dhea nmol group mean level nmol adrenal steroid hypersecretion evidence group associate disorder symptomatology insecure attachment characterise fearfulness anger apparent style unparalleled healthy group female adolescent causal direction group finding remain unclear examining participant year post discharge clinic illustrate participant recover return ordinary school life longer exhibit clinical level disorder symptomatology cars longer inconsistent sampling dhea level also generally comparable healthy control group another participant recover year later profile continue inconsistent sampling dhea concentration diurnal period significantly higher comparison healthy control group entirety unique contribution consideration methodological developmental specifically pertain adolescent findings also contribute knowledge understanding vulnerability factor intervention dedicate improve adolescent health
155,psychosocial outcome bone marrow transplant individual affect hurler disease,rationale theoretical model impact risk resistance factor psychosocial adjustment child young people affect mucopolysaccharidosis type hurler disease post bone marrow transplant sequential exploratory mixed design employ carry phase initial phase qualitative employ depth small sample parent individual affect condition administer semi structured interview analyse interpretative phenomenological theme highlight inform design phase employ quantitative phase forty four family affect post participate mother father patient participant comprise almost entire population patient group whose range month year face face survey mother telephone survey father psychometric testing patient participant measure include risk factor physical cognitive adaptive functioning resistance factor intrapersonal stress processing socialecological adjustment parent patient participant results data qualitative phase reveal number theme highlight numerous pertinent parent child affect condition include perception child vulnerability uncertainty perception stress source support feel others situation data phase illustrate stress processing social ecological factor significant contribution parent adjustment also illustrate intrapersonal socialecological maternal stress processing factor contribute significantly patient adjustment theoretical path determinant patient psychosocial outcome create illustrate relationship finding indicative resistance factor moderate effect disease disability related risk factor parent patient adjustment predict model dynamic interplay disease related risk factor intrapersonal socialecological stress processing factor relation parent patient adjustment outcome implication relationship pose patient family support
155,origin inflated responsibility investigation relationship adaptive responsibility responsibility appraisal young people,background inflated responsibility cognitive distortion characteristic obsessive compulsive disorder play crucial maintain salkovskis origin inflated responsibility uncertain although salkovskis shafran rachman freeston propose five hypothesis relate experience excessive insufficient level adaptive responsibility childhood exist measure adaptive responsibility initial measure assess responsibility perform young people relationship young people adaptive responsibility parent young people inflate responsibility symptomotology investigate cross sectional correlational design clinical population young people years parent dyad participant complete measure inflated responsibility adaptive responsibility young person results responses measure adaptive responsibility normally distribute indicate adequately range responsibility across year range contrast hypothesis significant relationship find high level adaptive responsibility inflated responsibility symptom parent young people exception significant difference child rated adaptive responsibility score high interference scale leyton obsessional inventory child berg although parent relate young people young people inflated responsibility parent inflated responsibility associatedw young people inflated responsibility conclusions result partially support cognitive model inflated responsibility adult young people relationship find parent young people inflated responsibility warrant investigation methodological weakness must acknowledge interpret result future research larger sample require origin inflated responsibility belief
155,effect executive function conditioning counter coditioning child fear,introduction fear anxiety disorder high prevalence population childhood fear normal part development persist longer period cause considerable distress direct indirect conditioning process anxiety development well establish recent research individual difference factor fear acquisition evidence executive functioning relevant fear learning aims investigate hypothesis individual difference form executive function kill temperamental factor associate effectiveness conditioning counter conditioning childhood fear sample clinical child year parent recruit local school observational design within subjects experimental component parents complete behavioural rating inventory executive function brief gioa children behaviour questionnaire short form putnam
155,experimental comparison counter conditioning modelling information animal fear child compatible counter conditioning effective,introduction grow empirical evidence rachman indirect pathway fear however limited research investigate indirect pathway counter conditioning fear early support effectiveness modelling information pathway reduce fear induce information pathway kelly barker field wilson
155,service attachment relative contribution ward climate perception attachment anxiety avoidance male inpatient psychosis,part literature review title influence ward atmosphere male inpatients psychosis purpose review literature relate influence ward atmosphere inpatient diagnosis psychosis systematic search strategy identify relevant literature methodological critique data synthesis fulfil inclusion criterion conduct nineteen total critically evaluate result highlight ward atmosphere positive impact patient outcome psychotic symptomatology mood attitude functioning enhance better suit need psychosis furthermore many highlight ideal ward atmosphere individual diagnosis psychosis calm supportive level anger staff control however many limitation small sample size lack longitudinal research need within area particularly regard base longitudinal larger sample size part research report title service attachment relative contributions ward climate perceptions attachment anxiety avoidance male inpatients psychosis literature relationship mental health service client become increasingly particularly since current thinking pertains idea mental health care institution represent positive attachment figure inpatient service attachment relate mental health service ability meet attachment need patient provision secure base attachment literature prime function mental health service secure base provision consideration particularly forensic inpatient predominance insecure attachment style fragment attachment history frequent episode distress relate diagnosis psychosis purpose current cross sectional assess whether inpatient perception ward climate level attachment anxiety avoidance greater contribution attachment service male inpatient diagnosis psychosis residing four regional medium secure units complete questionnaire measure service attachment attachment style ward climate variables analyse pearson product moment correlation hierarchical multiple regression control negative affect results indicate perception ward climate contribute significantly attachment anxiety avoidance service attachment furthermore element ward climate relate positive therapeutic relationship staff patient contributory service attachment aspect ward climate result also highlight strong influence state negative affect measure within current highlighting negative affect main variable future research rather solely control clinical implication relate importance ward environment inpatient setting staff supervision training part three appraisal reflection overall research issues relate gain access population
155,classification athlete intellectual disability towards inclusion athlete intellectual disability paralympics,investigate relationship intellectual functioning sport performance athlete intellectual disability literature review show significant difference physical performance athlete without intellectual disability association degree intellectual functioning sport performance athlete intellectual disability following verbal nonverbal intelligence test basis psychometric property range item difficulty cultural fairness duration administration nonverbal initially choose investigate relationship intellectual functioning physical performance athlete intellectual disability finding reveal association depend sport discipline table tennis score subtest inductive reasoning associate performance physical aptitude test sport competition performance physical aptitude test beta
155,psychological cultural determinant woman intention donate oocyte,oocyte donation oocytes woman transfer another fertility treatment medical research however acute shortage woman population donate oocyte adverse consequence infertile patient medical researcher psychological determinant oocyte donation intention investigate link oocyte donation intention parenthood component planned behaviour among woman different ethnic background triangulation adopt systematic review five empirical investigation consist quantitative qualitative experimental research methodology carry results reveal oocyte donation best diverse dimension factor include positive attitude towards oocyte donation unconventional perception parenthood demographic variable theoretical component support structural equation modelling find positive attitude towards oocyte donation subjective norm demonstrate direct influence decision donate oocyte however perceived behavioural control intention donate remains uncertain perceptions importance parenthood genetic parent child determine willingness donate oocyte fertility treatment addition finding modify intention towards oocyte donation framing effect among white woman women south east asia result implication research clinical practice particularly potential tailor clinical service provision regard recruitment oocyte donor
155,dina help qualitative exploration social skill solve train group intervention looked child,background looked accommodated child constitute vulnerable high risk group extensive evidence attests social emotional behavioural difficulty display looked child negative trajectory difficulty without early intervention however identification need population meet comprehensive treatment current evidence base limit although attachment synonymous looked child research social cognitive harbour greater potential empirically support treatment option aims using qualitative current utility dina dinosaur small group therapy programme webster stratton looked child based cognitive social learning support evidence document effectiveness enhance child psychosocial adjustment child subjective experience group extend previous outcome based research separate group conduct looked child foster carers follow individual semi structured interview child developmentally appropriate data collection utilised data subsequently analyse interpretative phenomenological results super ordinate theme emerge legacy past connection group culture leave stability understanding limitation barrier overall dina dinosaur group high face validity foster carers experience relevant acceptable carers child situate difficulty looked child within broader context foster care identified element therapeutic intervention support looked child engagement therapy
155,journeys recovery clinician conceptualisation recovery child sexual abuse grounded,experience child sexual abuse associate emotional behavioural childhood mental health later life kendall tackett
155,imagination power resilience psychotherapists counsellors overcome childhood abuse quantitative qualitative,aims investigate relationship power resilience british psychotherapist counsellor possibility abuse child main research elements contribute recovery childhood abuse methods three part mixed methods results systematic review reliable questionnaire result design final instrument eight include following five measurement list threatening experiences ways coping questionnaire empowerment scale survey result completed questionnaire indicate prevalence childhood abuse higher proportion woman occurrence symptom trauma find significantly different abused nonabused group however result psychotherapy beneficial abused group reflect significant trauma complex interaction discover style power life event trauma emotional health regression demonstrate self esteem self efficacy subscale empowerment mediate trauma interpretative phenomenological seven interviews show different usage power dominance power powerlessness disempowerment inner power empowerment also show imagination childhood active imagination adulthood faculty power psychotherapists report experience childhood abuse lead open understanding trauma emotional effect client suffer childhood abuse believe psychotherapy empowerment recovery conclusions triangulation result strongly imagination fundamental component inner power play creativity sport crucial element construction empowerment result highlight importance play sport psychotherapy education programme everyday life
155,gambling predictor impulsivity executive function,background recent research gambling many associate environmental sociological biological psychological factor specifically male gender alcohol drug depression anxiety neuropsychological deficit impulsivity causal relationship remain establish several theoretical model hypothesise biopsychosocial favour aims include identify specific predictor isolate potential causal factor ofpg investigate level executive function relationship impulsivity divide part part utilise correlation design participant complete several questionnaire collect demographic psychological personality information part used control design match control participants complete neuropsychological assessment executive fimction results multiple regression indicate male gender depression impulsivity significantly associate series presentation indicate neurocognitive profile executive function differ preliminary statistical demonstrate significant difference specific neuropsychological test trends towards significance planning performance time identify take time plan action take longer complete test error conclusions specific domain executive function show deficit higher executive function involve planning organise self monitoring behaviour impulsivity hypothesise contribute deficit executive function finding insight fuller understanding factor associate tile neuropsychological functioning sample clinical implication include tile adaptation current intervention investigation able male gender depression impulsivity executive function deficit serve vulnerability factor development maintenance potential vulnerability factor recommend specific area interest future research
155,socioemotional functioning adolescent specific language impairment,specific language impairment developmental language disorder persist adolescence adulthood research last decade show child experience range socioemotional difficulty addition language however lack similar research involve adolescent three aspect socioemotional functioning adolescent self report measure assess range socioemotional construct development adolescents compare typically adolescent show young people risk ofexperiencing difficulty area socioemotional functioning adolescents tendency feel stress social situation inhibit even avoid interaction also evidence adolescent lower self esteem compare peer emotionally engage close relationship nonetheless young people also social success strength motivate interact socially others number ofthem appear skill necessary social interaction furthermore adolescent benefit close best friend finding three theoretical practical implication profile socioemotional strength difficulty associate adolescence begin dearth research area language impairment risk socioemotional however young people difficulty aspect socioemotional functioning affect
155,attachment influence understanding self others cross cultural british cypriot college student,main purpose conduct relation attachment representation individual self others first young adult whereas three involve sample child year investigate cultural difference caregiving practice relate young adult perception parent care versus overprotective perceive parenting culture impact attachment style relationship peer representation relationship parent peer relate individual self esteem cypriot college student compare british university undergraduate compared british counterpart cypriot participant perceive parent overprotective likely report secure attachment style relationship peer regardless culture higher perceive parental care secure dismiss attachment style peer independently associate higher self esteem result sample cypriot college student show similar relation observe attachment representation self esteem attachment assess unconscious internal working model iwms parental attachment relationship adult attachment interview individuals classify secure dismiss report higher self esteem preoccupied group also attachment representation relate adult mind ability investigate whether ability mediate relation attachment self esteem preoccupied attachment assess either self reported attachment style peer associate slower processing adult mind task however evidence mind ability mediate relation attachment self esteem three investigate inter relations attachment representation mind emotion understanding self sample cypriot child mean month secure attachment representation associate superior mind emotion understanding much weaker relation attachment representation self find compare result adult sample studies three moreover significant relation observe attachment self appear indirect mediate child emotion understanding result influence perceived parental attachment relationship peer discriminant validity construct tendency adult child mentalising ability interpreting people behaviour
155,psychometric validation trait emotional intelligence middle late childhood,trait emotional intelligence trait trait emotional self efficacy constellation emotion related self perceptions disposition locate lower level personality hierarchy petrides
155,emerging adulthood developmental ordination disorder,investigate theme emerge adulthood young adult motor ordination difficulty parental personal mixed number past twenty year longer outcome child developmental ordination disorder losse cantell cousins smyth social experience young people parent move higher education particularly year group time emerge adulthood continue developmental change arnett differ previous adult cousins centre around older group emerging adult higher education motor difficulty complete questionnaire alongside cohort parent individual subset group also interview retrospective note childhood clinical setting also undertaken order change childhood students match cohort student without reported difficulty social behaviour include driving drinking leisure pursuit compare typically student additional comparison student clumsy diagnosis dyslexia order compare current support higher education highlight persistent pervasive variable nature student report level impairment area life difficulty include learn drive difficulty planning organise property continue motor difficulty especially handwrite everyday task differences social behaviour also note compare control student evidence even resilient group reach higher education disappear reach adulthood
155,need older people dementia living home,background people dementia living home live alone high number unmet need high risk social isolation order person centred care need must finally order improve well know factor associate main identify predictor living home hypotheses live alone live others private restrict network network report fewer carers researcher interview need cognitive status quality life informal carers interview need social network behavioural psychological symptom bpsd functional status service carers also interview symptom depression anxiety burden satisfaction parametric multiple regression path undertaken results live alone live others particularly psychological social need report fewer compare carers researcher higher bpsd community involvement social network younger carer higher carer anxiety find predictor higher model relationship among variable propose management living home interdisciplinary coordinated system include environmental physical social psychological area target people live alone vulnerable group participation care management intervention reduce include treatment bpsd involvement community quality life ultimately improve
